id,title,description,link,image_link,additional_image_link,availability,price,brand,condition,identifier_exists,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,shipping
twm-launch-pack,"Launch Pack — Website, Online Store & Premium Media Bundle","Complete business launch foundation from The Well Media. Includes logo design and email signature, website, online store, product promotional video, cinematic company video, 10 product photos, and 5 business portfolio photos. Ideal for businesses that need a full media and digital foundation.",https://thewellmedia.com/pricing#launch-pack,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,25000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,launch-pack,business,ZA:::0.00 ZAR
twm-professional-practice-launch-pack,"Professional Practice Launch Pack — Website, Consultation System & Media","Professional practice foundation package including logo design or refinement, branded email signature, custom professional practice website up to 5 pages, online consultation booking form, cinematic practice introduction video, two short professional authority videos, professional and office photography, and initial professional content direction.",https://thewellmedia.com/pricing/professional-services,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,25000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,launch-pack,professional-services,ZA:::0.00 ZAR
twm-website-4-page,4-Page Professional Website Development,"Custom 4-page professional website development by The Well Media. Built for clarity, trust, and enquiry generation.",https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,7000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,"website-development alone, 4 page website",ZA:::0.00 ZAR
twm-online-shop-20-shoot,Online Shop Setup with 20 Product Photos,Online shop setup package including a 20-product photography shoot to help you sell products online with professional visuals.,https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,10000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,online-shop,ZA:::0.00 ZAR
twm-website-and-shop,Website and Online Shop Package,Combined website and online shop package for businesses that need both a marketing site and ecommerce capability.,https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,15000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,website-shop,ZA:::0.00 ZAR
twm-logo-design,Professional Logo Design,Professional logo design for your brand by The Well Media.,https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,1000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,branding,ZA:::0.00 ZAR
twm-email-signature,Branded Email Signature Design,Professionally designed branded email signature to strengthen everyday brand presence.,https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,500.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,branding,ZA:::0.00 ZAR
twm-email-domain-setup,Email Domain Setup,Professional email domain setup so your business email matches your brand.,https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,500.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,setup,ZA:::0.00 ZAR
twm-product-promo-video,Product Promotional Video,High-quality product promotional video created to showcase your offer and drive interest.,https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,5000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,video,ZA:::0.00 ZAR
twm-cinematic-company-promo,Cinematic Company Promo Video,"Cinematic company promotional video designed to build trust, authority, and brand recognition.",https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,10000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,video,ZA:::0.00 ZAR
twm-product-photo-pack-10,Product Photography Pack — 10 Images,"Professional product photography pack of 10 edited images for websites, online shops, and marketing.",https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,3000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,photography,ZA:::0.00 ZAR
twm-business-portrait-pack-5,Professional Business Portrait Pack — 5 Photos,"Professional business portrait pack of 5 edited photos for websites, proposals, and brand profiles.",https://thewellmedia.com/pricing#ala-carte,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,1500.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,once-off,ala-carte,photography,ZA:::0.00 ZAR
twm-content-silver,Content Creation Retainer — Silver (Monthly),"Monthly content creation retainer: 5 entry videos or 2 one-set videos, 10 product shoots and edits, and 4 posters or advert designs.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,5000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,content-creation,Silver,ZA:::0.00 ZAR
twm-content-gold,Content Creation Retainer — Gold (Monthly),"Monthly content creation retainer: 8 entry videos or 4 one-set videos, 1 cinema expert or promo video, 15 product shoots and edits, and 10 posters or advert designs.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,10000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,content-creation,Gold,ZA:::0.00 ZAR
